Name,Code,CURRENCY,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,Q3 2019,Q2 2019,Q1 2019,Q4 2018,Q3 2018,Q2 2018,Q1 2018,Q4 2017,Q3 2017,Q2 2017,Q1 2017,Q4 2016,Q3 2016,Q2 2016,Q1 2016,Q4 2015,Q3 2015,Q2 2015,Q1 2015,Q4 2014,Q3 2014,Q2 2014,Q1 2014,Q4 2013,Q3 2013,Q2 2013,Q1 2013,Q4 2012,Q3 2012,Q2 2012,Q1 2012,Q4 2011,Q3 2011,Q2 2011,Q1 2011,Q4 2010,Q3 2010,Q2 2010,Q1 2010,Q4 2009,Q3 2009,Q2 2009,Q1 2009,Q4 2008,Q3 2008,Q2 2008,Q1 2008,Q4 2007,Q3 2007,Q2 2007,Q1 2007,Q4 2006,Q3 2006,Q2 2006,Q1 2006,Q4 2005
CHINA CALXON GROUP 'A' - MARKET VALUE,CN:HYS(MV),CH,7884.32,12954.1,6603.34,8660.12,8479.7,8136.91,10771.03,11619,11907.67,13910.32,13747.95,10265.86,8209.07,12719.56,12629.35,12773.68,13549.49,14000.52,13549.47,17392.4,11348.36,8263.19,11546.82,7072.43,13874.22,11943.74,7830.19,6260.54,4654.81,4600.68,5015.65,5232.15,4943.48,5809.49,7343.05,6801.8,6928.09,7433.26,7000.26,8389.48,12990.17,15263.45,14108.77,15335.62,12990.17,21765.76,23165.79,22920.44,4343.88,1441.61,1441.61,1441.61,1441.61,1128.81,1128.81,1128.81,1128.81,1128.81,1128.81,1014.57,715.37,484.16,535.85
CHINA CALXON GROUP 'A' - TOT ASSETS/CMN EQUITY RATIO,CN:HYS(WC08287A),CH,7.392,6.539,5.86,6.877,6.005,5.544,5.33,6.331,6.262,5.741,5.45,5.49,5.072,5.046,5.151,19.973,16.688,12.349,11.545,49.916,34.186,20.204,17.341,9.774,8.976,9.063,8.474,8.452,8.267,8.027,7.493,7.113,6.99,6.647,6.683,6.72,6.889,6.454,6.132,5.856,5.735,5.797,5.18,4.976,5.041,4.819,4.919,7.88,-2.743,-2.613,-2.73,-7.632,-11.925,-11.704,-14.414,-24.735,16.329,13.735,17.056,58.421,93.522,30.964,41.91
LANGFANG DEVELOPMENT 'A',CN:XMR(P),CH,5.07,4.95,4.75,4.84,4.85,4.81,5.35,5.46,6.13,7.02,4.77,5.37,5.71,8.33,10.49,12.21,12.4,16.57,23.42,24.69,16.64,12.71,15.26,16.03,21.23,21.82,14.82,11.99,12.69,9.72,5.61,7.99,6.22,7.24,9.09,6.52,6.55,5.8,4.54,6.4,6.45,5.96,5.21,5.38,4.68,6.04,6.05,4.54,5.83,5.02,3.22,2.83,4.11,9.62,8.78,9.04,7.13,6.18,2.73,3.54,3.08,2.52,2.4
LANGFANG DEVELOPMENT 'A' - TOTAL ASSETS,CN:XMR(WC02999A),CH,579411,613072,667859,627390,621182,631902,704948,652624,614312,643849,691078,318711,322146,326236,331699,203278,203325,205870,208614,218597,370573,374373,388317,449254,297904,299592,301578,304615,297021,299247,308915,348426,350465,341710,347485,342225,342583,350829,355483,288197,305620,307123,307405,641503,643511,622649,626363,612595,621938,632060,634620,732642,734027,623525,610141,699508,699404,703431,717837,707805,709957,705484,704748
LANGFANG DEVELOPMENT 'A' - MRKT VALUE TO BOOK,CN:XMR(MTBV),CH,11.44,11.17,10.72,10.92,10.94,10.85,9.74,9.94,11.16,12.78,8.79,9.89,10.52,15.35,19.52,22.72,23.08,30.84,48.42,51.04,34.4,26.28,27.8,29.2,38.68,39.75,20.65,16.71,17.68,13.54,7.99,11.39,8.86,10.32,10.89,7.81,7.85,6.95,5.55,7.82,7.88,7.28,7.65,7.9,6.88,8.87,3.9,2.92,3.75,3.23,2.02,1.78,2.58,6.05,5.53,5.69,4.49,3.89,1.75,2.27,1.97,1.61,1.57
LANGFANG DEVELOPMENT 'A' - MARKET VALUE,CN:XMR(MV),CH,1927.41,1881.79,1805.76,1839.97,1843.78,1828.57,2033.86,2075.67,2330.38,2668.72,1813.36,2041.46,2170.71,3166.73,3987.88,4641.75,4713.98,6299.25,8903.34,9386.15,6325.86,4831.83,5801.24,6093.96,8070.79,8295.09,5633.96,4558.11,4824.23,3695.15,2132.7,3037.48,2364.59,2752.36,3455.65,2478.64,2490.05,2204.93,1725.93,2433.02,2452.03,2265.75,1980.63,2045.26,1779.15,2296.17,2299.97,1725.93,2216.33,1908.4,1224.11,1075.85,1562.46,3657.14,3337.8,3436.64,2710.54,2349.39,1036.12,1344.82,1170.6,956.65,910.81
LANGFANG DEVELOPMENT 'A' - TOT ASSETS/CMN EQUITY RATIO,CN:XMR(WC08287A),CH,3.561,3.652,3.964,2.961,3.009,3.012,3.375,3.231,3.005,3.111,3.349,1.651,1.64,1.62,1.624,1.139,1.14,1.134,1.134,1.13,1.906,1.912,1.861,1.659,1.11,1.104,1.105,1.125,1.109,1.118,1.158,1.112,1.114,1.079,1.095,1.092,1.094,1.126,1.142,1.119,1.189,1.19,1.188,1.083,1.085,1.059,1.061,1.067,1.045,1.049,1.049,1.227,1.219,1.03,1.011,1.149,1.154,1.183,1.209,1.232,1.232,1.219,1.215
YUNNAN MET.RLST.DEV.'A',CN:YHG(P),CH,2.11,2.16,2.42,3.37,3.83,2.84,2.89,2.93,2.9,4.2,2.88,3.42,4.49,4.57,5.22,5.22,5.22,4.37,3.77,3.88,3.09,3.31,4.75,3.97,6.33,4.6,3.51,3.08,2.21,2.42,2.75,2.89,2.69,3.23,4.44,3.3,4.35,3.62,3.3,3.61,6.59,6.67,7.33,6.64,6.3,10.28,10.78,9.14,9.82,7.13,4.69,3.96,5.69,5.51,4.55,1.92,1.92,1.3,1.3,1.06,1,0.61,0.54
YUNNAN MET.RLST.DEV.'A' - TOTAL ASSETS,CN:YHG(WC02999A),CH,49543663,77385121,79412727,79476545,81661830,84702402,87737051,87073794,86226717,83644997,83052474,81944575,76419683,77010027,77512323,80634817,61817952,63339656,63419472,49679117,46149993,48245253,44934009,40627292,35697107,34227621,33342695,30877963,30147040,27741007,24114925,24469361,23855123,22429380,22186012,17116915,17062369,14826100,13785359,13616874,13458984,12661407,12004720,11218267,10287898,9562409,9295880,9313782,7495356,4059443,1485436,1273468,1130765,966117,956518,305671,306731,345840,348050,309464,313680,328547,322682
YUNNAN MET.RLST.DEV.'A' - MRKT VALUE TO BOOK,CN:YHG(MTBV),CH,-8.97,-9.18,-10.29,-14.32,-16.28,-12.07,2.09,2.12,2.1,3.04,0.9,1.07,1.4,1.42,1.75,1.75,1.75,1.47,1.31,1.35,1.07,1.15,1.78,1.48,2.37,1.72,1.4,1.23,0.88,0.96,1.16,1.22,1.14,1.36,1.99,1.48,1.96,1.62,1.56,1.71,3.12,3.16,3.65,3.31,3.14,5.12,5.85,4.97,5.34,2.66,6.71,5.66,8.14,7.88,7.04,2.06,2.06,1.39,3.23,2.62,2.48,1.51,1.35
YUNNAN MET.RLST.DEV.'A' - MARKET VALUE,CN:YHG(MV),CH,3388,3468.28,3885.76,5411.16,6149.78,4560.15,4640.43,4704.66,4656.49,6743.88,4624.38,5491.45,7209.53,7337.98,8381.68,8381.68,8381.68,7011.49,6058.79,6230.05,4966.92,5309.46,7632.36,6369.21,10169.34,7386.16,5640.49,4948.8,3548.98,3886.58,4421.81,4635.9,4314.77,5179.37,7122.66,5294.64,6990.91,5805.17,5302.88,5796.94,10589.29,10717.24,11762.36,10653.9,10121.84,16500.24,17304.67,14676.04,15771.83,7876.02,5179.98,4369.43,6286.87,6089.31,5028.91,1468.36,1468.36,994.87,994.87,808.66,766.1,466.4,411.42
YUNNAN MET.RLST.DEV.'A' - TOT ASSETS/CMN EQUITY RATIO,CN:YHG(WC08287A),CH,83.447,-90.447,-210.229,68.469,56.783,40.465,39.526,22.225,20.509,17.526,16.124,16.776,16.937,16.277,16.212,19.483,14.611,14.031,13.7,13.001,11.487,11.608,10.452,10.753,9.327,8.628,8.272,8.359,7.956,7.157,6.348,6.943,6.899,6.292,6.205,5.003,5.072,4.381,4.062,4.043,4.091,3.905,3.727,3.819,3.511,3.208,3.145,3.27,2.672,5.161,1.923,1.836,1.62,1.364,1.339,1.015,1.008,1.05,1.129,1.027,1.04,1.081,1.056
SHENYANG PUBLIC UTILITY HOLDINGS 'H',K:SPU(P),K$,0.159,0.173,0.105,0.14,0.126,0.163,0.225,0.232,0.26,0.3,0.245,0.27,0.33,0.315,0.385,0.41,0.44,0.52,0.52,0.53,0.54,0.72,0.81,0.63,1.05,1.12,1.26,1.47,0.53,0.455,0.57,0.64,0.63,0.5,0.52,0.51,0.61,0.495,0.48,0.54,0.66,0.49,0.57,0.64,0.65,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6
SHENYANG PUBLIC UTILITY HOLDINGS 'H' - TOTAL ASSETS,K:SPU(WC02999A),K$,840209,NA,898099,NA,1052041,NA,995572,NA,1178566,NA,1185104,NA,1242585,NA,1142839,NA,1178495,NA,1272402,NA,1264965,NA,923346,NA,980816,NA,769482,NA,902622,NA,1333145,NA,893646,NA,1209647,NA,798339,NA,568969,NA,662795,NA,595027,NA,588816,NA,586402,NA,594873,NA,615089,NA,1065968,NA,1090528,NA,1167979,NA,1339846,NA,1575289,NA,1582162
SHENYANG PUBLIC UTILITY HOLDINGS 'H' - MRKT VALUE TO BOOK,K:SPU(MTBV),K$,0.29,0.32,0.19,0.26,0.23,0.3,0.41,0.42,0.48,0.55,0.37,0.4,0.49,0.47,0.47,0.5,0.54,0.64,0.66,0.67,0.69,0.92,1.05,0.82,1.37,1.21,1.75,2.04,0.74,0.63,0.84,0.94,0.92,0.73,0.8,0.79,0.94,0.76,0.79,0.88,1.08,0.8,1.07,1.2,1.22,1.13,1.25,1.25,1.25,1.25,1.3,1.3,1.3,1.3,1.22,1.22,1.22,1.22,1.74,1.74,1.74,1.74,1.48
SHENYANG PUBLIC UTILITY HOLDINGS 'H' - MARKET VALUE,K:SPU(MV),K$,96.25,104.73,63.56,84.75,76.28,98.68,136.21,140.45,157.4,181.61,148.32,163.45,199.77,190.69,233.07,248.2,266.37,314.8,314.8,320.85,326.9,435.87,408.63,317.82,529.7,470.85,529.7,617.99,222.81,191.28,239.63,269.06,264.85,210.2,218.61,214.4,256.44,208.1,201.79,227.02,277.46,206,239.63,269.06,273.26,252.24,252.24,252.24,252.24,252.24,252.24,252.24,252.24,252.24,252.24,252.24,252.24,252.24,252.24,252.24,252.24,252.24,252.24
SHENYANG PUBLIC UTILITY HOLDINGS 'H' - TOT ASSETS/CMN EQUITY RATIO,K:SPU(WC08287A),K$,1.223,NA,1.325,NA,1.466,NA,1.385,NA,1.362,NA,1.37,NA,1.241,NA,1.142,NA,1.129,NA,1.229,NA,1.216,NA,1.171,NA,1.238,NA,1.309,NA,1.536,NA,2.452,NA,1.609,NA,2.273,NA,1.567,NA,1.126,NA,1.438,NA,1.295,NA,1.255,NA,1.363,NA,1.442,NA,1.484,NA,1.755,NA,2.323,NA,3.526,NA,3.787,NA,3.765,NA,3.675
LUSHANG HEALTH INDUSTRY DEVELOPMENT 'A',CN:SZW(P),CH,16.14,11.88,8.52,9.66,9.6,6.7,8.43,3.63,4.05,3.91,3.08,2.78,2.83,3.7,3.87,4.59,4.66,5.32,5.44,5.69,5.1,6.05,9.19,5.74,10.64,7.84,6.62,4.35,3.48,3.72,3.87,4.42,3.93,4.18,5.67,3.61,5.24,5.6,4.67,6.62,8.2,8.47,7.44,7.79,6.64,11.47,12.43,9.5,9.06,6.35,3.76,3.06,5.39,6.68,6.55,6.55,3.59,5.34,2.15,2.38,2.42,2.13,2.81
LUSHANG HEALTH INDUSTRY DEVELOPMENT 'A' - TOTAL ASSETS,CN:SZW(WC02999A),CH,62645031,62162608,61393160,61386089,59687579,58344919,55936901,57045640,54456832,49969257,48764196,46795545,47165559,44487945,43303784,44007652,43126737,43421854,42413089,41947126,39073377,39431076,34646443,32883118,31714105,30490205,30710605,29141608,28939371,27466206,27216369,26471164,24995384,23478844,21606599,20208974,18877294,17858806,17581092,15869528,13476620,11904535,11092910,9616468,8679098,7768412,7197188,6441163,5570849,4714841,4772657,3795071,3771022,3951116,3932331,4101085,4128480,4093742,4223560,4834718,4503569,4429877,4589693
LUSHANG HEALTH INDUSTRY DEVELOPMENT 'A' - MRKT VALUE TO BOOK,CN:SZW(MTBV),CH,5.12,3.77,2.7,3.04,3.02,2.11,3.08,1.33,1.48,1.43,1.26,1.14,1.16,1.52,1.66,1.97,2,2.28,2.45,2.56,2.29,2.72,4.31,2.69,4.99,3.67,3.27,2.15,1.72,1.84,2.12,2.42,2.15,2.29,3.63,2.31,3.36,3.59,3.55,5.04,6.24,6.44,6.89,7.21,6.15,10.62,19.44,14.86,14.17,9.93,5.27,4.29,7.56,9.37,6.29,6.29,3.45,5.13,1.42,1.58,1.6,1.41,1.02
LUSHANG HEALTH INDUSTRY DEVELOPMENT 'A' - MARKET VALUE,CN:SZW(MV),CH,16287.71,11988.72,8595.24,9669.35,9609.29,6706.48,8438.16,3633.51,4053.92,3913.78,3082.98,2782.69,2832.74,3703.58,3873.75,4594.44,4664.51,5325.14,5445.26,5695.5,5104.93,6055.85,9198.89,5745.55,10650.3,7847.59,6626.41,4354.21,3483.37,3723.6,3873.75,4424.27,3933.8,4184.04,5675.48,3613.49,5245.07,5605.42,4674.52,6626.41,8207.93,8478.2,7447.2,7797.54,6646.42,11481.1,12442.03,9509.19,9068.77,6356.14,2016.3,1640.92,2890.39,3582.15,3512.44,3512.44,1925.14,2863.57,1152.94,1276.27,1297.72,1142.21,1506.86
LUSHANG HEALTH INDUSTRY DEVELOPMENT 'A' - TOT ASSETS/CMN EQUITY RATIO,CN:SZW(WC08287A),CH,19.261,19.143,19.306,16.541,20.76,20.791,20.399,22.131,21.846,20.133,20.008,19.264,19.848,18.906,18.573,19.019,19.042,19.335,19.052,18.944,18.015,18.303,16.219,15.606,15.334,14.861,15.175,15.011,15.532,14.89,14.903,15.922,15.637,14.853,13.83,14.793,14.086,13.398,13.363,13.891,12.171,10.847,10.261,13.046,12.725,11.92,11.245,13.987,13.895,11.918,12.48,93.912,22.152,8.757,7.039,7.475,6.647,6.124,5.217,3.788,3.415,3.249,3.096
TIANJIN SONGJIANG 'A',CN:FTL(P),CH,2.58,1.81,1.36,1.71,1.9,2.27,2.96,3.22,3.55,4.18,3.42,3,2.87,4.21,5.03,5.71,5.37,6.64,6.64,6.2,6.01,5.62,8.39,5.24,12.12,8.73,7.31,7.44,6.32,7.43,7.41,4.35,4.19,4.09,4.58,3.52,4.49,4.46,4.48,5.8,7.35,7.77,7.96,9.74,6.27,10.26,10.49,4.29,4.29,4.29,4.29,4.29,4.29,4.29,4.29,4.29,4.29,3.52,1.66,2.78,2.3,2.06,2.19
TIANJIN SONGJIANG 'A' - TOTAL ASSETS,CN:FTL(WC02999A),CH,7014407,10396168,9536600,12786656,12659497,11870550,12818617,13395147,13830481,13976232,13623153,13794381,14189760,14464113,14596109,13124787,13538002,14965622,14784152,15508609,15725048,14308251,14562827,14485777,14368397,14788968,13332365,12241102,12272674,11690592,12562571,11551922,11800467,11197589,10629423,10800621,10249380,10504976,10487791,10827489,10759150,10306517,9506103,9569143,8534745,7844382,7061385,6600528,235951,479878,490906,566223,577276,505776,538629,436370,372361,368467,411906,759792,844131,849373,939075
TIANJIN SONGJIANG 'A' - MRKT VALUE TO BOOK,CN:FTL(MTBV),CH,-0.67,-0.47,-0.35,-0.44,-0.49,-0.59,8.76,9.52,10.5,12.36,2.59,2.27,2.17,3.18,2.9,3.29,3.09,3.82,4.34,4.06,3.93,3.68,4.16,2.6,6.02,4.33,4.85,4.94,4.2,4.93,4.99,2.93,2.82,2.76,2.35,1.81,2.31,2.29,2.48,3.21,4.06,4.29,5.57,6.81,4.38,7.18,9.29,3.8,1.53,1.53,-4.5,-4.5,-4.5,-4.5,-3.55,-3.55,-3.55,-2.91,-1.23,-2.07,-1.71,-1.53,4.95
TIANJIN SONGJIANG 'A' - MARKET VALUE,CN:FTL(MV),CH,2413.57,1693.24,1272.27,1599.69,1777.44,2123.57,2769.06,3012.29,3321,3910.36,3199.38,2806.48,2684.86,3938.42,4705.52,5341.66,5023.59,6211.67,6211.67,5800.05,5622.3,5257.46,7848.78,4901.98,11338.17,8166.85,4578.99,4660.43,3958.86,4654.16,4641.63,2724.85,2624.62,2561.98,2868.92,2204.93,2812.54,2793.75,2806.28,3633.13,4604.05,4867.14,4986.15,6101.15,3925.54,6427.92,6570.23,2686.11,1083.39,1083.39,1083.39,1083.39,1083.39,1083.39,1083.39,1083.39,1083.39,888.82,420.09,703.1,581.49,519.58,552.75
TIANJIN SONGJIANG 'A' - TOT ASSETS/CMN EQUITY RATIO,CN:FTL(WC08287A),CH,-1.762,-2.72,-2.647,-91.344,-193.466,199.712,40.532,13.834,14.377,12.28,11.013,10.129,9.87,9.878,8.983,7.188,7.212,8.076,10.341,11.446,11.245,9.385,7.727,6.937,6.544,6.166,14.129,20.927,17.096,14.414,13.51,12.582,11.834,10.365,8.72,10.431,9.653,9.719,9.253,13.183,13.073,11.895,10.618,13.858,12.042,11.027,9.983,10.011,-1.171,-1.926,-2.04,-2.417,-2.392,-1.667,-1.765,-1.06,-1.015,-1.03,-1.211,7.186,6.383,7.487,8.418
TIANJIN TIANBAO INFR.'A',CN:TCC(P),CH,2.61,2.87,3.54,3.16,3.25,3.05,3.18,3.17,3.75,4.79,3.85,4.25,4.42,5.11,5.2,6.45,7.87,6.11,6.06,6.49,5.38,4.81,6.25,4.72,9.85,9.74,7.93,6.74,5.57,5.59,5.01,4.49,4.47,4.56,4.99,4.09,4.18,4.47,4.35,5.28,5.82,6.61,6.51,7.99,6,9.19,9.15,6.6,7.17,4.92,2.78,2.45,3.72,6.11,6.26,7.99,7.87,4.93,3.57,2.6,1.91,1.08,0.92
TIANJIN TIANBAO INFR.'A' - TOTAL ASSETS,CN:TCC(WC02999A),CH,12150702,11752879,9658196,9221072,9122332,8610261,8850713,8894966,9060793,9401915,9445440,9467955,9593950,9823980,10108805,10118545,8989557,8522117,8297869,6570828,6491542,6156758,6537776,6446976,5293082,5092590,5083436,5588728,6042743,5200999,5227010,4888746,4714176,4364962,4596342,4213357,4468742,4299005,4687635,4167170,4208488,4529925,4673422,4744750,4475469,3930625,3884917,3711276,3549693,3401968,3303376,1001264,960793,924352,998892,995760,929937,789857,822208,932679,1053134,936626,1034669
TIANJIN TIANBAO INFR.'A' - MRKT VALUE TO BOOK,CN:TCC(MTBV),CH,0.54,0.59,0.73,0.65,0.67,0.63,0.66,0.66,0.78,1,0.82,0.91,0.94,1.09,1.13,1.4,1.71,1.32,1.44,1.54,1.28,1.14,1.57,1.19,2.48,2.45,2.07,1.76,1.45,1,1.46,1.31,1.31,1.33,1.55,1.27,1.3,1.39,1.42,1.73,1.9,2.16,2.38,2.93,2.2,3.36,3.73,2.69,2.93,2.01,1.24,0.85,1.29,2.11,6.17,7.88,7.76,4.86,4.29,3.12,2.29,1.3,0.98
TIANJIN TIANBAO INFR.'A' - MARKET VALUE,CN:TCC(MV),CH,2896.66,3185.21,3928.8,3507.06,3606.95,3384.98,3529.26,3518.16,4161.86,5316.09,4272.84,4716.78,4905.45,5670.22,5771.12,7153.36,8737.39,6780.05,6729.61,7203.81,5972.91,5337.27,6941.48,5236.38,10936.88,10805.71,8797.93,7476.22,6184.78,4257.87,3814.78,3420.14,3406.3,3475.53,3800.93,3115.51,3184.75,3401.68,3313.99,4024.79,4435.57,5035.59,4957.13,6087.95,4569.42,6997.22,6969.52,5026.36,5460.23,3744.77,2113.93,1446.55,2198.47,3609.22,3697.54,4719.19,4649.97,2909.81,2107.76,1534.87,1126.69,637.34,544.25
TIANJIN TIANBAO INFR.'A' - TOT ASSETS/CMN EQUITY RATIO,CN:TCC(WC08287A),CH,2.303,2.206,1.795,1.712,1.7,1.595,1.667,1.748,1.778,1.812,1.813,1.724,1.792,1.834,1.974,2.075,1.84,1.739,1.771,1.457,1.441,1.372,1.483,1.498,1.233,1.189,1.195,1.316,1.463,1.991,2.007,1.933,1.871,1.753,1.874,1.739,1.888,1.828,2.013,1.805,1.847,2.145,2.247,2.371,2.284,2.041,2.082,2.061,2.041,1.979,1.934,1.554,1.509,1.501,1.668,1.951,1.829,1.628,1.674,1.708,1.924,1.691,1.859
YINYI 'A',CN:GLS(P),CH,2,2.1,2.05,1.87,1.36,1.33,1.84,1.39,1.8,4.23,3.12,5.63,7.45,8.92,8.83,9.49,9.77,10.14,9.92,9.89,9.39,9.62,7.57,7.57,8.47,4.88,4.4,3.41,2.63,2.7,2.78,2.62,2.38,2.86,3.17,2.95,2.86,3.18,2.66,3.29,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,0.87,0.97,2.4,2.88,3.9,4.71,2.16,2.45,1.63,1.52,1.64,1.12,1.12
YINYI 'A' - TOTAL ASSETS,CN:GLS(WC02999A),CH,21147437,21640121,21333207,22124697,21852180,23928740,24714397,33503366,34186192,34309390,36087006,40259035,42212661,42605502,43356756,29487240,29055610,29519088,24872092,25736056,24545582,24063287,24413123,26632274,26062842,27004081,26253839,24534631,25549323,24472656,23803532,22089056,19746959,19169633,18582776,17483901,16483569,16085435,16041447,15580607,14418947,383003,381471,385902,384841,443758,447428,453703,565577,442352,448357,593745,613104,628126,621234,696894,713645,682761,719886,1019248,1052574,NA,1130543
YINYI 'A' - MRKT VALUE TO BOOK,CN:GLS(MTBV),CH,1.51,1.58,1.54,1.41,1.02,1,1.13,0.85,1.11,2.6,0.86,1.55,2.05,2.46,1.98,1.62,1.66,1.73,4.51,4.49,4.27,4.37,3.78,3.78,4.23,2.44,2.39,1.86,1.43,1.47,1.69,1.59,1.44,1.73,2.19,2.03,1.97,2.2,2.27,2.81,1.22,0.3,2.44,2.44,2.44,2.44,2.47,2.47,2.47,2.47,5.74,6.4,15.8,18.95,7.65,9.25,4.25,4.81,2.53,2.35,2.54,1.74,1.24
YINYI 'A' - MARKET VALUE,CN:GLS(MV),CH,8055.98,8458.77,8257.37,7532.34,5478.06,5357.22,7411.5,5598.9,7250.38,17038.39,12567.32,22677.57,30008.51,35929.66,35567.14,29024.49,29880.85,31012.47,25563.98,25486.68,24198.17,24790.88,19499.41,19499.41,21818.72,12575.83,11338.87,8796.21,6768.96,6957.94,7172.69,6760.37,6124.7,7370.26,8160.55,7593.6,7361.67,8203.5,6863.45,8469.79,3667.26,893.55,893.55,893.55,893.55,893.55,893.55,893.55,893.55,893.55,547.4,610.19,1506.96,1808.03,2447.2,2957.57,1358.84,1539.16,1025.57,951.51,1028.79,705.18,705.18
YINYI 'A' - TOT ASSETS/CMN EQUITY RATIO,CN:GLS(WC08287A),CH,4.482,4.378,3.987,3.322,3.274,3.751,3.772,2.557,2.386,2.408,2.468,2.481,2.693,2.321,2.415,3.298,3.322,3.436,4.384,4.524,4.528,4.62,4.732,5.342,5.315,5.601,5.542,5.452,5.65,5.626,5.598,5.54,5.026,5.046,4.98,5.238,5.165,5.245,5.315,5.369,5.355,1.046,1.043,1.061,1.062,1.224,1.235,4.125,6.704,5.092,4.7,1.983,1.997,1.988,1.942,1.805,1.83,1.698,1.778,NA,1.917,NA,1.991
YIHUA HEALTHCARE 'A',CN:MPE(P),CH,4.41,2.79,2.96,3.45,3.56,5.09,4.79,5.57,5.5,8.82,10.52,11.46,13.83,14.54,15.6,14.01,12.38,14.54,15.75,15.4,15.91,13.4,19.44,26.89,26.89,21.35,8.89,5.29,3.59,3.91,2.77,2.65,2.65,2.18,2.47,2.08,2.05,1.79,1.68,2.32,2.78,2.86,2.62,3,3.06,4.16,4.05,3.21,3.3,2.3,1.48,1.86,2.27,4.66,5.4,7.7,6.82,3.91,2.49,2.33,1.39,1.06,1
YIHUA HEALTHCARE 'A' - TOTAL ASSETS,CN:MPE(WC02999A),CH,4598601,4784084,5027103,5653406,5660445,6095311,5905170,7997086,7887065,8490663,8188564,8610875,7970575,7575672,7586591,7382523,7151645,6959438,7184557,5859542,5577026,4556747,4539302,4299877,3856159,3808525,2524843,2732930,2682777,2710254,2712264,2798339,2301445,1950694,1646213,1600492,1511504,1485297,1487670,1084852,1036126,1030614,1028777,1038288,1030095,1099285,1112054,1158225,1141656,1200328,1214823,1220806,1181187,1093309,1081684,933432,477466,480272,527729,603619,567542,591058,589704
YIHUA HEALTHCARE 'A' - MRKT VALUE TO BOOK,CN:MPE(MTBV),CH,28.34,17.93,19.02,22.17,22.88,32.71,5.27,6.13,6.05,9.71,3.83,4.17,5.03,5.29,6.01,5.4,4.77,5.6,5.71,5.59,5.77,4.86,10.18,14.08,14.08,11.18,6.83,4.06,2.76,3,2.21,2.11,2.11,1.74,2.23,1.88,1.84,1.61,1.52,2.1,2.51,2.59,2.26,2.59,2.63,3.59,3.53,2.81,2.88,2.01,1.54,1.94,2.36,4.87,6.51,9.3,8.22,4.72,3.67,3.43,2.05,1.56,1.35
YIHUA HEALTHCARE 'A' - MARKET VALUE,CN:MPE(MV),CH,3870.64,2448.78,2597.98,3028.05,3124.6,4467.48,4204.17,4888.77,4827.33,7742.54,9234.63,10062.17,12135.51,12757.96,13693.87,12292.24,10868.22,12762.43,13823.73,13519.23,13962.55,11763.83,17061.36,23599.31,23599.31,18736.15,5644.07,3356.64,2280.96,2481.84,1759.32,1681.56,1681.56,1386.72,1568.16,1321.92,1299.24,1137.24,1069.2,1474.2,1765.8,1817.64,1662.12,1905.12,1940.76,2643.84,2569.32,2041.2,2093.04,1461.24,939.6,1179.36,1438.56,2961.36,3427.92,4892.39,4328.64,2485.08,1581.12,1477.44,884.52,673.92,635.04
YIHUA HEALTHCARE 'A' - TOT ASSETS/CMN EQUITY RATIO,CN:MPE(WC08287A),CH,-121.968,63.066,36.811,9.582,8.678,8.21,7.404,3.308,3.258,3.444,3.395,3.531,3.31,3.185,3.33,2.974,2.939,2.821,2.969,2.233,2.153,1.739,2.709,2.626,2.354,2.25,3.055,3.428,3.339,3.425,3.405,3.901,3.217,2.766,2.336,2.271,2.144,2.113,2.118,1.465,1.402,1.396,1.396,1.416,1.408,1.51,1.53,1.661,1.736,1.913,1.997,2.233,2.194,2.061,2.055,2.067,1.09,1.086,1.225,1.256,1.249,1.276,1.252
HUBEI WUCHANGYU 'A',CN:HWC(P),CH,3.78,2.77,2.49,3.69,2.75,2.08,2.19,2.26,2.65,2.99,2.76,2.35,3.18,4.81,6,8.3,5.88,12.08,17.8,14.28,7.58,7.03,8.85,4.98,9.43,7.75,5.69,4.25,4.35,4.01,5.17,5.9,5.69,6.4,5.18,6.09,7.27,6.85,5.2,4.96,4.78,5.87,4.78,5.21,5.23,8.84,6.86,4.89,4.94,3,1.81,1.8,2.75,5.86,7.96,9.39,7.66,6.62,2.95,3.46,2.8,1.93,1.72
HUBEI WUCHANGYU 'A' - TOTAL ASSETS,CN:HWC(WC02999A),CH,112298,118314,125112,205054,209437,213973,223453,223401,230208,228456,239192,235013,221731,310747,329950,292849,316173,321879,325050,343211,347389,366657,385793,387866,392056,367716,366667,296268,298145,301882,314799,339029,334616,339479,345507,360356,366465,2874360,2817878,2806498,2807628,2810528,2896195,2970331,2973108,2984568,2984514,3062412,3064064,3074251,3075729,2590680,2590870,2605882,2507261,2355122,2358393,2298681,2380349,2698888,2148307,2204718,2189632
